Title,Year,Running time,Country,Language,Release date,Box office,Genre,Imdb Rating
The Shaggy D.A.,1976,91,USA,English,1976/12/16,10500000,Comedy,5.9
The Rescuers,1977,77,USA,English,1977/6/22,169000000,Comedy,6.9
Herbie Goes to Monte Carlo,1977,104,USA,English,1977/6/24,29000000,Action,5.7
The Apple Dumpling Gang Rides Again,1979,88,USA,English,1979/6/27,20931111,Western,6.1
Midnight Madness,1980,112,USA,English,1980/2/8,2900000,Comedy,6.4
The Watcher in the Woods,1980,84,USA,English,1980/4/17,5000000,Family,6.3
Herbie Goes Bananas,1980,97,USA,English,1980/6/27,18000000,Comedy,5
The Last Flight of Noah's Ark,1980,97,USA,English,1980/7/9,11000000,Family,5.8
Popeye,1980,114,USA,English,1980/12/6,60000000,Comedy,5.3
The Devil and Max Devlin,1981,96,USA,English,1981/2/11,16000000,Comedy,5.1
Dragonslayer,1981,109,USA,English,1981/6/26,14100000,Action,6.7
The Fox and the Hound,1981,83,USA,English,1981/7/10,63500000,Drama,7.3
Night Crossing,1982,107,USA,English,1982/2/5,8000000,Drama,6.5
Tex,1982,103,USA,English,1982/7/30,7400000,Drama,6.5
Trenchcoat,1983,91,USA,English,1983/3/11,4304286,Comedy,5.3
Something Wicked This Way Comes,1983,95,USA,English,1983/4/29,8400000,Thriller,6.8
Never Cry Wolf,1983,105,USA,English,1983/10/7,27600000,Drama,7.5
Return to Oz,1985,113,USA,English,1985/6/21,11100000,Fantasy,6.7
The Black Cauldron,1985,80,USA,English,1985/7/24,21300000,Action,6.4
The Journey of Natty Gann,1985,101,USA,English,1985/9/27,9700000,Family,7
One Magic Christmas,1985,90,USA,English,1985/11/22,13000000,Fantasy,6.5
The Great Mouse Detective,1986,74,USA,English,1986/7/2,38700000,Family,7.2
Flight of the Navigator,1986,90,USA,English,1986/8/1,18564613,Comedy,6.9
Benji the Hunted,1987,89,USA,English,1987/6/5,22300000,Family,6.3
The Man from Snowy River II,1988,110,Australia,English,1988/3/24,13687027,Western,6.6
Oliver & Company,1988,74,USA,English,1988/11/18,121000000,Comedy,6.7
"Honey, I Shrunk the Kids",1989,93,USA,English,1989/6/23,222700000,Comedy,6.4
Cheetah,1989,84,USA,English,1989/8/18,8153677,Drama,6
DuckTales the Movie: Treasure of the Lost Lamp,1990,74,USA,English,1990/8/3,18100000,Comedy,6.9
The Rescuers Down Under,1990,77,USA,English,1990/11/16,47400000,Comedy,6.9
White Fang,1991,107,USA,English,1991/1/18,34800000,Drama,6.7
Shipwrecked,1990,93,USA,English,1990/10/3,15100000,Family,6.7
Wild Hearts Can't Be Broken,1991,88,USA,English,1991/5/24,7300000,Drama,7.2
The Rocketeer,1991,108,USA,English,1991/6/21,46700000,Action,6.5
Newsies,1992,121,USA,English,1992/4/10,2800000,Drama,6.9
"Honey, I Blew Up the Kid",1992,89,USA,English,1992/7/17,96000000,Comedy,4.9
The Mighty Ducks,1992,104,USA,English,1992/10/2,50800000,Comedy,6.6
Aladdin,1992,90,USA,English,1992/11/25,504100000,Comedy,8
The Muppet Christmas Carol,1992,86,USA,English,1992/12/11,27200000,Comedy,7.7
Homeward Bound: The Incredible Journey,1993,84,USA,English,1993/2/3,57000000,Comedy,7
A Far Off Place,1993,108,USA,English,1993/3/12,12900000,Drama,6.6
The Adventures of Huck Finn,1993,107,USA,English,1993/4/2,24100000,Comedy,6.2
Hocus Pocus,1993,96,USA,English,1993/7/16,45400000,Comedy,6.9
Cool Runnings,1993,98,USA,English,1993/10/1,154900000,Comedy,7
The Three Musketeers,1993,105,England,English,1993/11/12,53900000,Action,5.7
Iron Will,1994,108,USA,English,1994/1/14,21000000,Family,6.6
Blank Check,1994,94,USA,English,1994/2/11,39000000,Comedy,5.3
D2: The Mighty Ducks,1994,106,USA,English,1994/4/17,45600000,Comedy,6.1
White Fang 2: Myth of the White Wolf,1994,102,USA,English,1994/4/14,8878839,Family,5.5
Angels in the Outfield,1994,102,USA,English,1994/7/15,50200000,Comedy,6.2
Squanto: A Warrior's Tale,1994,102,USA,English,1994/10/28,3337685,Drama,6.1
The Santa Clause,1994,97,USA,English,1994/11/11,189800000,Comedy,6.5
Rudyard Kipling's The Jungle Book,1994,111,USA,English,1994/12/25,43200000,Documentary,7.1
Heavyweights,1995,100,USA,English,1995/2/17,17600000,Comedy,6.7
Man of the House,1995,96,USA,English,1995/3/3,40070995,Comedy,5.4
Tall Tale,1995,98,USA,English,1995/3/24,11000000,Fantasy,5.9
A Goofy Movie,1995,78,USA,English,1995/4/7,37600000,Comedy,6.9
Pocahontas,1995,81,USA,English,1995/6/10,346100000,Drama,6.7
Operation Dumbo Drop,1995,108,USA,English,1995/7/28,24670346,Action,5.1
A Kid in King Arthur's Court,1995,89,USA,English,1995/8/11,13400000,Comedy,4.8
The Big Green,1995,99,USA,English,1995/9/27,17700000,Comedy,5.6
Toy Story,1995,81,USA,English,1995/11/19,373000000,Comedy,8.3
Tom and Huck,1995,92,USA,English,1995/12/22,23900000,Comedy,5.5
